访客ID,事件名称,事件时间
4,Max实时收益,2023/5/10 23:20
4,show成功,2023/5/10 23:20
4,SDK监控广告关闭,2023/5/10 23:21
4,usr_data_end_next_click,2023/5/10 23:22
4,usr_data_game_start,2023/5/10 23:22
4,usr_data_game_end,2023/5/10 23:28
4,gameid8,2023/5/10 23:28
4,usr_data_game_die,2023/5/10 23:28
4,SDK监控游戏请求展示广告,2023/5/10 23:28
4,Max实时收益,2023/5/10 23:28
4,SDK关键行为监控,2023/5/10 23:28
4,SDK关键行为监控,2023/5/10 23:28
4,SDK关键行为监控,2023/5/10 23:28
4,show成功,2023/5/10 23:28
4,关闭应用,2023/5/10 23:28
5,安装应用,2023/5/10 21:28
5,开启应用,2023/5/10 21:28
5,updateflow,2023/5/10 21:28
5,updateflow,2023/5/10 21:28
5,s_moudle_data_af_deeplink,2023/5/10 21:28
5,updateflow,2023/5/10 21:28
5,usr_data_install,2023/5/10 21:28
5,usr_data_AB,2023/5/10 21:28
5,updateflow,2023/5/10 21:28
5,usr_data_type,2023/5/10 21:28
5,usr_data_guide_1_start,2023/5/10 21:28
5,广告SDK初始化结果,2023/5/10 21:28
5,puzzle_download_fail,2023/5/10 21:28
5,s_moudle_data_af_conversion_success,2023/5/10 21:28
5,usr_data_guide_1_end,2023/5/10 21:28
5,usr_data_guide_2_start,2023/5/10 21:28
5,usr_data_guide_2_end,2023/5/10 21:28
5,usr_data_guide_3_start,2023/5/10 21:28
5,usr_data_guide_3_end,2023/5/10 21:28
5,usr_data_game_start,2023/5/10 21:28
5,usr_data_game_end,2023/5/10 21:30
5,gameid1,2023/5/10 21:30
5,usr_data_game_die,2023/5/10 21:30
5,topsocre700,2023/5/10 21:30
5,usr_data_topscore,2023/5/10 21:30
5,关闭应用,2023/5/10 21:30
6,安装应用,2023/5/10 5:09
6,开启应用,2023/5/10 5:09
6,updateflow,2023/5/10 5:09
6,updateflow,2023/5/10 5:09
6,s_moudle_data_af_deeplink,2023/5/10 5:09
6,updateflow,2023/5/10 5:09
6,usr_data_install,2023/5/10 5:09
6,usr_data_AB,2023/5/10 5:09
6,updateflow,2023/5/10 5:09
6,usr_data_type,2023/5/10 5:09
6,usr_data_guide_1_start,2023/5/10 5:09
6,s_moudle_data_af_conversion_success,2023/5/10 5:09
6,广告SDK初始化结果,2023/5/10 5:09
6,usr_data_guide_1_end,2023/5/10 5:10
6,usr_data_guide_2_start,2023/5/10 5:10
6,usr_data_guide_2_end,2023/5/10 5:10
6,usr_data_guide_3_start,2023/5/10 5:10
6,usr_data_game_start,2023/5/10 5:10
6,usr_data_guide_3_end,2023/5/10 5:10
6,usr_data_game_end,2023/5/10 5:11
6,gameid1,2023/5/10 5:11
6,usr_data_game_die,2023/5/10 5:11
6,topsocre1200,2023/5/10 5:11
6,usr_data_topscore,2023/5/10 5:11
6,usr_data_end_next_click,2023/5/10 5:12
6,usr_data_game_start,2023/5/10 5:12
6,usr_data_game_end,2023/5/10 5:15
6,gameid2,2023/5/10 5:15
6,usr_data_game_die,2023/5/10 5:15
6,topsocre1500,2023/5/10 5:15
6,usr_data_topscore,2023/5/10 5:15
6,关闭应用,2023/5/10 5:15
7,安装应用,2023/5/10 16:21
7,开启应用,2023/5/10 16:21
7,updateflow,2023/5/10 16:21
7,updateflow,2023/5/10 16:21
7,s_moudle_data_af_deeplink,2023/5/10 16:21
7,updateflow,2023/5/10 16:21
7,usr_data_install,2023/5/10 16:21
7,updateflow,2023/5/10 16:21
7,usr_data_AB,2023/5/10 16:21
7,usr_data_type,2023/5/10 16:21
7,puzzle_download,2023/5/10 16:21
7,usr_data_guide_1_start,2023/5/10 16:21
7,广告SDK初始化结果,2023/5/10 16:21
7,s_moudle_data_af_conversion_success,2023/5/10 16:21
7,usr_data_guide_1_end,2023/5/10 16:22
7,usr_data_guide_2_start,2023/5/10 16:22
7,usr_data_guide_2_end,2023/5/10 16:22
7,usr_data_guide_3_start,2023/5/10 16:22
7,usr_data_guide_3_end,2023/5/10 16:22
7,usr_data_game_start,2023/5/10 16:22
7,usr_data_game_end,2023/5/10 16:26
7,gameid1,2023/5/10 16:26
7,usr_data_game_die,2023/5/10 16:26
7,usr_data_topscore,2023/5/10 16:26
7,topsocre1200,2023/5/10 16:26
7,关闭应用,2023/5/10 16:26
7,开启应用,2023/5/10 16:47
7,usr_data_end_next_click,2023/5/10 16:47
7,usr_data_game_start,2023/5/10 16:47
7,usr_data_game_end,2023/5/10 16:49
7,gameid2,2023/5/10 16:49
7,usr_data_game_die,2023/5/10 16:49
7,usr_data_end_next_click,2023/5/10 16:49
7,usr_data_game_start,2023/5/10 16:49
7,usr_data_game_end,2023/5/10 16:50
7,gameid3,2023/5/10 16:50
7,usr_data_game_die,2023/5/10 16:50
7,usr_data_end_next_click,2023/5/10 16:50
7,usr_data_game_start,2023/5/10 16:50
7,usr_data_game_end,2023/5/10 16:53
7,gameid4,2023/5/10 16:53
7,usr_data_game_die,2023/5/10 16:53
7,SDK监控游戏请求展示广告,2023/5/10 16:53
7,Max实时收益,2023/5/10 16:53
7,show成功,2023/5/10 16:53
7,SDK监控广告关闭,2023/5/10 16:53
7,usr_data_end_next_click,2023/5/10 16:53
7,usr_data_game_start,2023/5/10 16:53
7,usr_data_game_end,2023/5/10 16:56
7,gameid5,2023/5/10 16:56
7,SDK关键行为监控,2023/5/10 16:56
7,usr_data_game_die,2023/5/10 16:56
7,SDK监控游戏请求展示广告,2023/5/10 16:56
7,Max实时收益,2023/5/10 16:56
7,show成功,2023/5/10 16:56
7,SDK监控广告关闭,2023/5/10 16:57
7,usr_data_end_next_click,2023/5/10 16:57
7,usr_data_game_start,2023/5/10 16:57
7,usr_data_game_end,2023/5/10 17:01
7,usr_data_game_die,2023/5/10 17:01
7,SDK监控游戏请求展示广告,2023/5/10 17:01
7,Max实时收益,2023/5/10 17:01
7,show成功,2023/5/10 17:01
7,关闭应用,2023/5/10 17:02
7,开启应用,2023/5/10 17:10
7,SDK监控广告关闭,2023/5/10 17:10
7,usr_data_end_next_click,2023/5/10 17:10
7,usr_data_game_start,2023/5/10 17:10
7,usr_data_game_end,2023/5/10 17:13
7,SDK关键行为监控,2023/5/10 17:13
7,SDK关键行为监控,2023/5/10 17:13
7,usr_data_game_die,2023/5/10 17:13
7,SDK监控游戏请求展示广告,2023/5/10 17:13
7,Max实时收益,2023/5/10 17:13
7,show成功,2023/5/10 17:13
7,SDK监控广告关闭,2023/5/10 17:14
7,usr_data_end_next_click,2023/5/10 17:14
7,usr_data_game_start,2023/5/10 17:14
7,usr_data_game_end,2023/5/10 17:15
7,gameid8,2023/5/10 17:15
7,usr_data_game_die,2023/5/10 17:15
7,SDK监控游戏请求展示广告,2023/5/10 17:15
7,Max实时收益,2023/5/10 17:15
7,SDK关键行为监控,2023/5/10 17:15
7,SDK关键行为监控,2023/5/10 17:15
7,SDK关键行为监控,2023/5/10 17:15
7,show成功,2023/5/10 17:15
7,关闭应用,2023/5/10 17:15
7,开启应用,2023/5/10 17:20
7,SDK监控广告关闭,2023/5/10 17:20
7,usr_data_show_comment,2023/5/10 17:20
7,usr_data_close_comment,2023/5/10 17:20
7,usr_data_end_next_click,2023/5/10 17:20
7,usr_data_game_start,2023/5/10 17:20
7,usr_data_game_end,2023/5/10 17:23
7,gameid9,2023/5/10 17:23
7,usr_data_game_die,2023/5/10 17:23
7,SDK监控游戏请求展示广告,2023/5/10 17:23
7,Max实时收益,2023/5/10 17:23
7,show成功,2023/5/10 17:23
7,SDK监控广告被点击,2023/5/10 17:23
7,关闭应用,2023/5/10 17:23
7,开启应用,2023/5/10 18:00
7,SDK监控广告被点击,2023/5/10 18:00
7,关闭应用,2023/5/10 18:01
7,开启应用,2023/5/10 18:01
7,关闭应用,2023/5/10 18:01
7,开启应用,2023/5/10 18:02
7,SDK监控广告关闭,2023/5/10 18:02
7,usr_data_end_next_click,2023/5/10 18:02
7,usr_data_game_start,2023/5/10 18:02
7,usr_data_game_end,2023/5/10 18:05
7,gameid10,2023/5/10 18:05
7,usr_data_game_die,2023/5/10 18:05
7,SDK监控游戏请求展示广告,2023/5/10 18:05
7,Max实时收益,2023/5/10 18:05
7,show成功,2023/5/10 18:05
7,关闭应用,2023/5/10 18:06
7,开启应用,2023/5/10 18:09
7,SDK监控广告关闭,2023/5/10 18:09
7,usr_data_end_next_click,2023/5/10 18:10
7,usr_data_game_start,2023/5/10 18:10
7,usr_data_game_end,2023/5/10 18:12
7,usr_data_game_die,2023/5/10 18:12
7,SDK监控游戏请求展示广告,2023/5/10 18:12
7,Max实时收益,2023/5/10 18:12
7,show成功,2023/5/10 18:12
7,SDK监控广告被点击,2023/5/10 18:13
7,关闭应用,2023/5/10 18:13
7,开启应用,2023/5/10 18:16
7,SDK监控广告被点击,2023/5/10 18:16
7,SDK监控广告被点击,2023/5/10 18:16
7,SDK监控广告被点击,2023/5/10 18:16
7,SDK监控广告关闭,2023/5/10 18:16
7,usr_data_end_next_click,2023/5/10 18:17
7,usr_data_game_start,2023/5/10 18:17
7,关闭应用,2023/5/10 18:19
7,SDK监控游戏请求展示广告,2023/5/10 18:29
7,开启应用,2023/5/10 18:29
7,Max实时收益,2023/5/10 18:29
7,show成功,2023/5/10 18:29
7,SDK监控广告被点击,2023/5/10 18:29
7,SDK监控广告关闭,2023/5/10 18:29
7,usr_data_game_end,2023/5/10 18:30
7,gameid12,2023/5/10 18:30
7,usr_data_game_die,2023/5/10 18:30
7,SDK监控游戏请求展示广告,2023/5/10 18:30
7,Max实时收益,2023/5/10 18:30
7,show成功,2023/5/10 18:30
7,SDK监控广告被点击,2023/5/10 18:30
7,关闭应用,2023/5/10 18:30
7,开启应用,2023/5/10 18:50
7,SDK监控广告被点击,2023/5/10 18:51
7,SDK监控广告被点击,2023/5/10 18:51
7,SDK监控广告被点击,2023/5/10 18:51
7,SDK监控广告关闭,2023/5/10 18:51
7,usr_data_end_next_click,2023/5/10 18:51
7,usr_data_game_start,2023/5/10 18:51
7,usr_data_game_end,2023/5/10 18:53
7,usr_data_game_die,2023/5/10 18:53
7,SDK监控游戏请求展示广告,2023/5/10 18:53
7,Max实时收益,2023/5/10 18:53
7,show成功,2023/5/10 18:53
7,SDK监控广告关闭,2023/5/10 18:54
7,usr_data_end_next_click,2023/5/10 18:54
7,usr_data_game_start,2023/5/10 18:54
7,usr_data_game_end,2023/5/10 18:56
7,usr_data_game_die,2023/5/10 18:56
7,SDK监控游戏请求展示广告,2023/5/10 18:56
7,Max实时收益,2023/5/10 18:56
7,show成功,2023/5/10 18:56
7,关闭应用,2023/5/10 18:57
7,开启应用,2023/5/10 18:59
